Entity Name,Registration Type,Jurisdiction,Entity Type,Entity Status,Status Date,Domestic Entity,Formation Date,Entity/Business ID,Global Region
Meridian Vantage Holdings Inc,Entity,United States/Delaware,Corporation,Active,,,2009-03-11,DE-4410872,North America
Cobalt Ridge Capital LLC,Entity,United States/Nevada,Limited Liability Company,Active,,,2013-07-24,NV-E0334512013-7,North America
Alderwood Ventures Pte Ltd,Entity,Singapore,Corporation,Active,,,2014-11-06,SG-201432187K,Asia Pacific
Lumen Delta Trust,Entity,United States/South Dakota,Trust,Active,,,2016-01-19,SD-TR-880154,North America
Praxis Nordisk Holding AB,Entity,Sweden,Corporation,Active,,,2012-09-03,SE-556812-4471,European Economic Area
Meridian Vantage Technologies LLC,Entity,United States/Washington,Limited Liability Company,Active,,,2015-05-28,WA-603889214,North America
Meridian Vantage Logistics LP,Entity,United States/Texas,Limited Partnership,Active,,,2017-02-14,TX-0803114552,North America
Sablefin Analytics Inc,Entity,United States/Delaware,Corporation,Active,,,2018-06-05,DE-6722190,North America
Northgate Materials Corp,Entity,Canada/Ontario,Corporation,Active,,,2011-10-17,ON-1884203,North America
Verdant Bay Renewables LLC,Entity,United States/California,Limited Liability Company,In Formation,,,2026-07-21,CA-202619810447,North America
Praxis Nordisk Energi AS,Entity,Norway,Corporation,Active,,,2015-08-12,NO-915442013,European Economic Area
Alderwood Pacific Sdn Bhd,Entity,Malaysia,Corporation,Active,,,2016-04-30,MY-1189204-K,Asia Pacific
Kestrel Andes SpA,Entity,Chile,Corporation,Active,,,2018-01-22,CL-76.884.201-3,Latin America
Halcyon Gulf Trading LLC,Entity,United Arab Emirates,Limited Liability Company,Active,,,2019-03-18,AE-DED-778143,Europe Middle East Africa
Meridian Vantage Foundation,Entity,United States/New York,Nonprofit,Active,,,2014-02-27,NY-4412007,North America
Sablefin Data Services GmbH,Entity,Germany,Limited Liability Company,Active,,,2019-09-09,DE-HRB-114872,European Economic Area
Torrelago Servicios SA de CV,Entity,Mexico,Corporation,Active,,,2013-12-02,MX-TSE131202M44,Latin America
Brightmoor Insurance Holdings Ltd,Entity,United Kingdom,Corporation,Active,,,2010-05-14,UK-07219884,Europe Middle East Africa
Ironvale Steelworks Pty Ltd,Entity,Australia/Victoria,Corporation,Dormant,2024-03-15,,2008-11-25,AU-ACN-129447003,Asia Pacific
Cobalt Ridge Realty Trust,Entity,United States/Florida,Trust,Active,,,2017-08-08,FL-M17000004412,North America
Marlowe Peak Ventures GP,Entity,United States/Colorado,General Partnership,Active,,,2020-06-15,CO-20201884412,
Quillon Aerospace Inc,Entity,United States/Delaware,Corporation,Merged/Acquired,2025-06-30,,2012-04-03,DE-5108844,North America
Silverbrook Pharma Ltd,Entity,India,Corporation,Dissolved,2024-12-01,,2011-07-19,IN-U24239MH2011PLC221004,Asia Pacific
Aventine Retail SARL,Entity,France,Limited Liability Company,Divested/Sold,2026-07-15,,2015-03-26,FR-812449017,European Economic Area
Zephyr Line Shipping Ltd,Entity,United Kingdom,Corporation,Revoked/Terminated,2025-02-28,,2013-09-30,UK-08661247,Europe Middle East Africa
Harborlight Studios Inc,Entity,United States/Georgia,Corporation,Active,,,2021-01-11,GA-21014477,
Meridian Vantage Holdings Inc (California),FQ,United States/California,Corporation,Active,,Meridian Vantage Holdings Inc,2010-02-08,CA-C3348871,North America
Meridian Vantage Technologies LLC (New York),FQ,United States/New York,Limited Liability Company,Active,,Meridian Vantage Technologies LLC,2016-09-14,NY-5012884,North America
Sablefin Analytics Inc (Illinois),FQ,United States/Illinois,Corporation,Active,,Sablefin Analytics Inc,2019-04-02,IL-71884203,North America
Cobalt Ridge Capital LLC (Texas),FQ,United States/Texas,Limited Liability Company,Active,,Cobalt Ridge Capital LLC,2014-05-19,TX-0802214776,North America
Northgate Materials Corp (Quebec),FQ,Canada/Quebec,Corporation,Active,,Northgate Materials Corp,2012-06-11,QC-1167884203,North America
Halcyon Gulf Trading LLC (Saudi Arabia),FQ,Saudi Arabia,Limited Liability Company,Dormant,2025-11-20,Halcyon Gulf Trading LLC,2020-02-25,SA-1010884472,Europe Middle East Africa
