Entity Name,Filing Type,Jurisdiction,Filing Authority,Due Date,Filed Date,Status
Meridian Vantage Holdings Inc,Franchise Tax,United States/Delaware,Delaware Division of Revenue,2026-06-01,2026-05-27,Filed
Meridian Vantage Holdings Inc,Annual Report,United States/Delaware,Delaware Secretary of State,2027-02-15,,Not Started
Cobalt Ridge Capital LLC,Annual Report,United States/Nevada,Nevada Secretary of State,2025-12-31,2025-12-12,Filed
Cobalt Ridge Capital LLC,Annual Report,United States/Nevada,Nevada Secretary of State,2027-01-31,,Not Started
Alderwood Ventures Pte Ltd,Annual Report,Singapore,Accounting and Corporate Regulatory Authority,2026-12-31,,Not Started
Lumen Delta Trust,Annual Report,United States/South Dakota,South Dakota Secretary of State,2027-03-31,,Not Started
Praxis Nordisk Holding AB,Annual Report,Sweden,Bolagsverket,2026-12-15,,In Progress
Meridian Vantage Technologies LLC,Annual Report,United States/Washington,Washington Secretary of State,2026-10-31,,In Progress
Meridian Vantage Technologies LLC,Annual Report,United States/Washington,Washington Secretary of State,2025-10-31,2025-10-14,Filed
Meridian Vantage Logistics LP,Franchise Tax,United States/Texas,Texas Comptroller of Public Accounts,2026-09-15,,Submitted
Sablefin Analytics Inc,Franchise Tax,United States/Delaware,Delaware Division of Revenue,2026-03-01,2026-02-20,Filed
Sablefin Analytics Inc,Annual Report,United States/Delaware,Delaware Secretary of State,2027-03-01,,Not Started
Northgate Materials Corp,Annual Report,Canada/Ontario,Ontario Business Registry,2026-06-30,,Not Started
Verdant Bay Renewables LLC,Statement of Information,United States/California,California Secretary of State,2026-11-30,,Not Started
Praxis Nordisk Energi AS,Annual Report,Norway,Bronnoysund Register Centre,2027-04-30,,Not Started
Alderwood Pacific Sdn Bhd,Annual Report,Malaysia,Companies Commission of Malaysia,2026-11-15,,In Progress
Kestrel Andes SpA,Annual Report,Chile,Servicio de Impuestos Internos,2026-03-31,,In Progress
Halcyon Gulf Trading LLC,Annual Report,United Arab Emirates,Dubai Department of Economy and Tourism,2027-01-15,,Not Started
Meridian Vantage Foundation,Biennial Statement,United States/New York,New York Department of State,2026-05-31,2026-05-20,Filed
Meridian Vantage Foundation,Annual Report,United States/New York,New York Attorney General Charities Bureau,2025-11-15,2025-11-03,Filed
Sablefin Data Services GmbH,Annual Report,Germany,Handelsregister Frankfurt am Main,2026-12-31,,Not Started
Torrelago Servicios SA de CV,Annual Report,Mexico,Servicio de Administracion Tributaria,2024-11-30,,Not Started
Brightmoor Insurance Holdings Ltd,Annual Report,United Kingdom,Companies House,2025-12-31,,Rejected
Ironvale Steelworks Pty Ltd,Annual Report,Australia/Victoria,Australian Securities and Investments Commission,2026-04-30,,Not Started
Cobalt Ridge Realty Trust,Annual Report,United States/Florida,Florida Division of Corporations,2026-10-01,,Not Started
Quillon Aerospace Inc,Annual Report,United States/Delaware,Delaware Secretary of State,2025-03-01,,Canceled
Silverbrook Pharma Ltd,Annual Report,India,Ministry of Corporate Affairs,2024-09-30,,Not Started
Aventine Retail SARL,Annual Report,France,Greffe du Tribunal de Commerce de Paris,2026-07-31,,Not Started
Zephyr Line Shipping Ltd,Annual Report,United Kingdom,Companies House,2024-06-30,,Not Started
Harborlight Studios Inc,Annual Report,United States/Georgia,Georgia Secretary of State,2027-04-01,,Not Started
Meridian Vantage Holdings Inc (California),Statement of Information,United States/California,California Secretary of State,2026-09-02,,Not Started
Meridian Vantage Technologies LLC (New York),Biennial Statement,United States/New York,New York Department of State,2027-05-31,,Not Started
Sablefin Analytics Inc (Illinois),Annual Report,United States/Illinois,Illinois Secretary of State,2026-12-01,,Not Started
Cobalt Ridge Capital LLC (Texas),Franchise Tax,United States/Texas,Texas Comptroller of Public Accounts,2027-05-15,,Not Started
Northgate Materials Corp (Quebec),Annual Report,Canada/Quebec,Registraire des entreprises du Quebec,2025-01-31,,Not Started
Halcyon Gulf Trading LLC (Saudi Arabia),Annual Report,Saudi Arabia,Ministry of Commerce,2026-02-28,,Not Started
